date,NO2_mean,NOX_mean,NO_mean,SPM_mean,PM25_mean,SO2_mean
2012-04-17,25.639,31.542,5.903,31.444,,1.818
2012-04-18,19.278,27.889,8.611,21.981,,2.182
2012-04-19,14.542,18.68,4.139,14.375,,1.75
2012-04-20,13.541,17.389,3.847,9.639,,1.75
2012-04-21,11.264,14.25,2.986,13.444,,1.875
2012-04-22,10.43,11.722,1.292,19.958,,1.708
2012-04-23,24.464,30.277,5.812,22.583,,1.609
2012-04-24,16.597,20.556,3.958,25.306,,1.917
2012-04-25,21.194,29.514,8.319,31.917,,2.083
2012-04-26,17.972,21.403,3.431,32.069,,2.25
2012-04-27,19.667,23.639,3.972,15.958,,1.75
2012-04-28,15.93,21.0,5.069,18.986,,1.708
2012-04-29,16.389,20.014,3.625,30.681,,2.417
2012-04-30,11.548,13.79,2.242,19.5,,2.348
2012-05-01,17.167,21.889,4.722,22.722,,2.0
2012-05-02,14.211,18.238,4.027,20.152,,1.875
2012-05-03,8.667,9.931,1.264,6.778,,1.875
2012-05-04,12.5,15.167,2.667,10.875,,1.833
2012-05-05,9.514,10.847,1.333,10.083,,1.792
2012-05-06,9.736,11.306,1.57,19.333,,1.917
2012-05-07,18.759,22.043,3.283,22.653,,2.174
2012-05-08,27.93,31.583,3.653,36.792,,3.125
2012-05-09,23.331,26.553,3.222,56.821,,2.875
2012-05-10,13.625,16.375,2.75,27.972,,1.792
2012-05-11,4.778,5.417,0.639,5.986,,2.125
2012-05-12,3.514,4.083,0.569,7.264,,1.667
2012-05-13,6.361,7.278,0.917,11.611,,1.875
