date,PM25_mean,SPM_mean,NO2_mean,NOX_mean,NO_mean,CH4_mean,NMHC_mean,SO2_mean,THC_mean
2011-10-18,6.812,11.417,6.021,8.01,1.99,176.0,3.304,0.0,179.304
2011-10-19,9.979,14.742,16.797,26.062,9.264,178.783,10.217,0.083,189.0
2011-10-20,11.5,17.383,14.865,21.083,6.219,176.087,6.609,0.0,182.696
2011-10-21,9.562,15.867,14.416,19.781,5.364,173.739,5.913,0.0,179.652
2011-10-22,8.562,14.325,18.438,31.75,13.312,176.783,13.13,0.0,189.913
2011-10-23,8.667,13.675,10.094,14.74,4.646,177.957,10.565,0.0,188.522
2011-10-24,6.364,12.442,16.367,22.459,6.092,173.4,6.55,0.0,179.95
2011-10-25,7.958,13.183,11.958,20.438,8.479,175.435,6.826,0.0,182.261
2011-10-26,8.102,11.58,8.199,11.604,3.404,175.609,3.348,0.0,178.957
2011-10-27,14.584,18.95,20.979,30.698,9.719,177.87,10.783,0.083,188.652
2011-10-28,15.761,18.852,18.557,28.388,9.83,176.348,7.652,0.087,184.0
2011-10-29,16.625,19.05,14.979,19.375,4.396,176.435,7.826,0.125,184.261
2011-10-30,20.167,26.992,11.667,13.979,2.313,175.696,7.609,0.0,183.304
2011-10-31,15.208,19.367,10.366,14.08,3.714,174.913,6.783,0.0,181.696
2011-11-01,20.166,23.35,20.625,30.708,10.083,179.217,11.87,0.417,191.087
2011-11-02,21.562,27.733,23.518,43.614,20.095,177.913,17.043,0.458,194.957
2011-11-03,20.334,25.067,22.542,35.021,12.479,179.174,16.957,0.458,196.13
2011-11-04,20.292,26.257,21.794,33.112,11.319,169.857,12.905,0.55,182.762
2011-11-05,29.792,40.642,17.146,22.479,5.334,176.391,9.957,0.167,186.348
2011-11-06,29.812,43.292,9.688,11.573,1.885,176.913,7.391,0.0,184.304
2011-11-07,7.729,10.958,9.366,13.241,3.876,174.609,4.739,0.0,179.348
2011-11-08,8.47,7.948,8.867,11.763,2.896,176.455,5.818,0.0,182.273
2011-11-09,9.312,10.375,17.533,26.4,8.867,178.652,10.478,0.083,189.13
2011-11-10,7.566,11.484,18.303,31.15,12.846,180.261,10.957,0.125,191.217
2011-11-11,13.875,20.925,21.403,52.702,31.3,180.609,17.609,0.375,198.217
2011-11-12,15.184,21.59,15.385,23.364,7.979,176.783,8.0,0.042,184.783
