date,NO2_mean,NOX_mean,NO_mean,SO2_mean,PM25_mean
2012-05-11,2.822,3.077,0.254,0.293,1.208
2012-05-12,2.528,2.57,0.042,0.197,3.375
2012-05-13,4.986,5.306,0.319,0.708,9.5
2012-05-14,4.986,5.875,0.889,1.017,14.167
2012-05-15,9.361,10.125,0.764,0.472,7.0
2012-05-16,7.861,8.667,0.806,1.434,18.25
2012-05-17,8.177,9.074,0.898,1.857,31.739
2012-05-18,5.222,5.361,0.139,1.093,24.0
2012-05-19,8.944,9.569,0.625,1.167,15.833
2012-05-20,6.042,6.569,0.528,0.691,11.083
2012-05-21,5.911,6.262,0.35,0.773,14.042
2012-05-22,8.153,8.611,0.458,0.94,15.375
2012-05-23,13.472,14.611,1.139,2.833,20.458
2012-05-24,14.167,15.306,1.139,2.846,24.583
2012-05-25,12.139,13.236,1.097,1.504,28.875
2012-05-26,8.236,8.764,0.528,1.458,28.875
2012-05-27,5.187,5.584,0.397,1.691,22.5
2012-05-28,5.903,6.792,0.889,0.868,23.167
2012-05-29,7.056,7.986,0.93,1.137,30.208
2012-05-30,6.625,6.931,0.305,0.744,14.083
2012-05-31,10.594,12.217,1.622,1.401,17.042
2012-06-01,6.931,7.847,0.917,1.899,18.958
2012-06-02,10.334,12.639,2.306,1.625,21.591
2012-06-03,6.25,7.111,0.861,1.227,17.792
2012-06-04,4.933,6.189,1.256,0.703,13.792
2012-06-05,5.472,5.792,0.32,0.558,7.542
2012-06-06,5.981,6.591,0.61,1.048,10.208
2012-06-07,7.75,8.607,0.857,2.646,31.667
2012-06-08,4.208,5.278,1.069,0.655,19.167
2012-06-09,6.055,7.083,1.028,1.083,10.167
2012-06-10,4.279,4.507,0.228,0.417,16.542
2012-06-11,3.328,3.67,0.342,0.642,15.0
2012-06-12,10.111,11.167,1.055,0.824,12.208
2012-06-13,6.708,7.569,0.861,0.821,6.958
