date,SO2_mean,SPM_mean,CH4_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,THC_mean
2011-10-27,3.896,13.87,187.875,12.0,6.5,7.854,1.354,14.417,199.875
2011-10-28,5.307,30.5,189.167,20.5,12.375,15.208,2.834,25.167,209.667
2011-10-29,5.232,33.125,185.417,22.542,8.646,10.166,1.521,29.125,207.958
2011-10-30,3.026,29.615,185.208,20.25,9.125,10.562,1.438,21.292,205.458
2011-10-31,4.156,11.193,184.826,17.957,7.633,9.166,1.534,7.042,202.783
2011-11-01,5.132,14.979,184.333,18.333,8.271,10.084,1.812,11.304,202.667
2011-11-02,5.012,18.214,186.167,19.417,11.848,15.282,3.435,15.458,205.583
2011-11-03,4.516,31.104,186.625,24.542,13.48,18.292,4.812,25.25,211.167
2011-11-04,4.901,37.099,186.458,26.583,11.458,15.0,3.542,32.083,213.042
2011-11-05,2.9,38.552,187.917,28.833,12.916,16.688,3.77,23.292,216.75
2011-11-06,2.641,9.958,181.417,20.458,6.458,8.083,1.625,5.625,201.875
2011-11-07,3.22,7.519,186.042,17.917,7.522,9.261,1.739,5.333,203.958
2011-11-08,4.038,11.616,187.909,17.136,9.104,11.604,2.5,10.833,205.045
2011-11-09,4.49,10.87,187.833,14.875,10.48,12.271,1.792,11.208,202.708
2011-11-10,3.312,11.552,186.625,12.667,8.666,10.104,1.438,12.542,199.292
2011-11-11,4.255,17.187,188.292,19.958,11.625,16.916,5.292,16.083,208.25
2011-11-12,5.264,20.943,189.5,23.875,12.312,17.271,4.958,19.0,213.375
2011-11-13,3.833,23.141,189.333,17.708,6.292,7.764,1.472,22.833,207.042
2011-11-14,4.974,37.609,190.476,15.095,6.699,7.714,1.015,37.174,205.571
2011-11-15,4.356,15.969,187.708,10.167,5.322,6.312,0.99,14.542,197.875
2011-11-16,3.765,9.391,189.917,11.208,9.236,11.49,2.254,10.565,201.125
2011-11-17,6.167,25.873,191.4,14.533,14.583,18.0,3.417,26.792,205.933
2011-11-18,3.011,42.083,187.458,25.542,18.604,25.396,6.792,31.0,213.0
2011-11-19,2.368,13.422,184.875,24.583,16.375,25.75,9.375,9.958,209.458
2011-11-20,3.76,12.906,185.583,10.458,3.854,4.771,0.916,13.167,196.042
2011-11-21,2.672,7.178,186.087,6.522,6.251,7.704,1.454,5.833,192.609
2011-11-22,3.292,7.208,185.792,9.625,8.229,10.584,2.354,5.042,195.417
2011-11-23,3.609,18.084,185.583,10.583,7.792,10.104,2.312,16.292,196.167
2011-11-24,2.672,5.891,185.5,6.625,4.333,5.23,0.896,5.5,192.125
