date,CH4_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,SO2_mean,THC_mean
2011-12-22,188.13,5.0,3.478,3.696,0.217,1.522,193.13
2011-12-23,189.522,4.609,2.913,2.957,0.043,1.87,194.13
2011-12-24,190.583,4.708,3.625,3.75,0.125,1.667,195.292
2011-12-25,192.417,4.042,1.292,1.292,0.0,1.0,196.458
2011-12-26,192.25,4.333,2.5,2.5,0.0,1.458,196.583
2011-12-27,191.917,4.958,4.875,5.375,0.5,2.083,196.875
2011-12-28,188.136,4.818,4.5,4.773,0.273,1.727,192.955
2011-12-29,187.458,5.917,4.417,4.958,0.542,1.917,193.375
2011-12-30,188.75,5.5,3.917,4.292,0.375,1.708,194.25
2011-12-31,187.292,4.458,1.917,1.917,0.0,1.083,191.75
2012-01-01,194.375,4.958,1.458,2.0,0.542,0.0,199.333
2012-01-02,194.083,4.958,2.0,2.333,0.333,0.5,199.042
2012-01-03,194.708,3.542,1.208,2.333,1.125,1.417,198.25
2012-01-04,194.421,4.053,2.542,3.542,1.0,0.917,198.474
2012-01-05,,,3.667,4.625,0.958,0.708,
2012-01-06,,,3.125,4.042,0.917,1.083,
2012-01-07,191.111,5.111,4.125,5.125,1.0,1.625,196.222
2012-01-08,191.292,6.542,6.958,8.042,1.083,1.208,197.833
2012-01-09,192.739,4.957,4.696,5.826,1.13,1.565,197.696
2012-01-10,193.875,5.333,4.0,5.583,1.583,1.542,199.208
2012-01-11,193.792,5.125,3.208,4.5,1.292,1.542,198.917
2012-01-12,191.167,5.292,4.792,6.333,1.542,0.917,196.458
2012-01-13,190.0,4.5,2.208,3.125,0.917,0.0,194.5
2012-01-14,189.542,4.542,2.333,3.292,0.958,0.5,194.083
2012-01-15,193.875,5.875,4.625,6.125,1.5,0.875,199.75
2012-01-16,192.542,5.542,3.25,4.958,1.708,0.625,198.083
2012-01-17,194.333,4.625,2.375,3.708,1.333,0.333,198.958
2012-01-18,192.318,5.818,4.409,5.591,1.182,0.136,198.136
2012-01-19,189.708,5.0,3.667,4.167,0.5,0.0,194.708
2012-01-20,190.042,5.417,3.958,4.25,0.292,0.25,195.458
2012-01-21,187.417,6.625,6.417,7.083,0.667,0.0,194.042
2012-01-22,185.708,5.792,3.708,4.167,0.458,0.0,191.5
2012-01-23,186.875,5.333,4.792,5.375,0.583,0.0,192.208
2012-01-24,186.667,5.458,3.792,4.292,0.5,0.0,192.125
2012-01-25,187.636,4.364,2.045,2.318,0.273,0.136,192.0
